,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
83577,1188.0,1143.0,Fixation
83578,1182.0,1139.0,Fixation
83579,1178.0,1155.0,Fixation
83580,1179.0,1153.0,Fixation
83581,1179.0,1157.0,Fixation
83582,1165.0,1160.0,Fixation
83583,1165.0,1163.0,Fixation
83584,1176.0,1166.0,Fixation
83585,1167.0,1170.0,Fixation
83586,1167.0,1173.0,Fixation
83587,1174.0,1171.0,Fixation
83588,1175.0,1166.0,Fixation
83589,1181.0,1166.0,Fixation
83590,1189.0,1168.0,Fixation
83591,1191.0,1171.0,Fixation
83592,1194.0,1171.0,Fixation
83593,1184.0,1169.0,Fixation
83594,1176.0,1155.0,Fixation
83595,1170.0,1155.0,Fixation
83596,1180.0,1165.0,Fixation
83597,1177.0,1162.0,Fixation
83598,1190.0,1152.0,Unclassified
83599,,,Unclassified
83600,,,Unclassified
83601,,,Unclassified
83602,,,Unclassified
83603,,,Unclassified
83604,,,Unclassified
83605,,,Unclassified
83606,,,Unclassified
83607,,,Unclassified
83608,,,Unclassified
83609,,,Unclassified
83610,,,Unclassified
83611,,,Unclassified
83612,,,Unclassified
83613,,,Unclassified
83614,,,Unclassified
83615,,,Unclassified
83616,,,Unclassified
83617,,,Unclassified
83618,,,Unclassified
83619,,,Unclassified
83620,,,Unclassified
83621,,,Unclassified
83622,,,Unclassified
83623,,,Unclassified
83624,,,Unclassified
83625,,,Unclassified
83626,1290.0,1221.0,Unclassified
83627,1265.0,1237.0,Saccade
83628,1255.0,1241.0,Saccade
83629,1257.0,1240.0,Fixation
83630,1260.0,1242.0,Fixation
83631,1260.0,1261.0,Fixation
83632,1260.0,1249.0,Fixation
83633,1257.0,1249.0,Fixation
83634,1268.0,1246.0,Fixation
83635,1256.0,1244.0,Fixation
83636,1258.0,1246.0,Fixation
83637,1262.0,1250.0,Fixation
83638,1261.0,1252.0,Fixation
83639,1268.0,1262.0,Fixation
83640,1279.0,1261.0,Fixation
83641,1272.0,1262.0,Saccade
83642,1269.0,1255.0,Saccade
83643,1275.0,1268.0,Saccade
83644,1298.0,1298.0,Saccade
83645,1318.0,1329.0,Saccade
83646,1324.0,1352.0,Saccade
83647,1325.0,1352.0,Saccade
83648,1334.0,1353.0,Saccade
83649,1333.0,1356.0,Fixation
83650,1335.0,1358.0,Fixation
83651,1333.0,1344.0,Fixation
83652,1333.0,1344.0,Fixation
83653,1336.0,1354.0,Fixation
83654,1332.0,1362.0,Fixation
83655,1332.0,1363.0,Fixation
83656,1322.0,1358.0,Fixation
83657,1326.0,1336.0,Fixation
83658,1323.0,1337.0,Fixation
83659,1333.0,1347.0,Fixation
83660,1334.0,1343.0,Fixation
83661,1330.0,1343.0,Fixation
83662,1328.0,1341.0,Fixation
83663,1319.0,1355.0,Fixation
83664,1329.0,1355.0,Fixation
83665,1316.0,1349.0,Fixation
83666,1320.0,1345.0,Fixation
83667,1321.0,1345.0,Saccade
83668,1285.0,1330.0,Saccade
83669,,,Saccade
83670,1224.0,1275.0,Saccade
83671,1112.0,1171.0,Saccade
83672,895.0,956.0,Saccade
83673,847.0,847.0,Saccade
83674,822.0,796.0,Saccade
83675,826.0,796.0,Fixation
83676,833.0,808.0,Fixation
83677,836.0,828.0,Fixation
83678,840.0,834.0,Fixation
83679,837.0,816.0,Fixation
83680,817.0,831.0,Fixation
83681,813.0,841.0,Fixation
83682,814.0,846.0,Fixation
83683,824.0,842.0,Fixation
83684,827.0,845.0,Fixation
83685,827.0,841.0,Fixation
83686,821.0,845.0,Fixation
