,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
115981,939.0,1048.0,Saccade
115982,968.0,1063.0,Saccade
115983,969.0,1063.0,Unclassified
115984,964.0,1059.0,Unclassified
115985,958.0,1080.0,Unclassified
115986,950.0,1080.0,Saccade
115987,953.0,1071.0,Saccade
115988,962.0,1071.0,Fixation
115989,965.0,1070.0,Fixation
115990,958.0,1070.0,Fixation
115991,956.0,1070.0,Fixation
115992,882.0,1083.0,Fixation
115993,883.0,1085.0,Fixation
115994,882.0,1083.0,Fixation
115995,922.0,1083.0,Fixation
115996,922.0,1085.0,Fixation
115997,924.0,1095.0,Fixation
115998,950.0,1094.0,Fixation
115999,946.0,1092.0,Fixation
116000,940.0,1081.0,Fixation
116001,925.0,1078.0,Fixation
116002,927.0,1074.0,Saccade
116003,966.0,1087.0,Saccade
116004,1037.0,1122.0,Saccade
116005,1106.0,1197.0,Saccade
116006,1216.0,1291.0,Saccade
116007,1285.0,1365.0,Saccade
116008,1285.0,1416.0,Saccade
116009,1371.0,1437.0,Saccade
116010,1371.0,1443.0,Unclassified
116011,1365.0,1447.0,Saccade
116012,1333.0,1450.0,Saccade
116013,1356.0,1461.0,Fixation
116014,1345.0,1460.0,Fixation
116015,1342.0,1443.0,Fixation
116016,1342.0,1443.0,Fixation
116017,1343.0,1436.0,Fixation
116018,1351.0,1439.0,Fixation
116019,1360.0,1429.0,Fixation
116020,1356.0,1440.0,Fixation
116021,1348.0,1447.0,Fixation
116022,1351.0,1455.0,Fixation
116023,1347.0,1443.0,Fixation
116024,1354.0,1437.0,Fixation
116025,1347.0,1438.0,Fixation
116026,1354.0,1452.0,Saccade
116027,1310.0,1445.0,Saccade
116028,1302.0,1438.0,Unclassified
116029,1298.0,1408.0,Saccade
116030,1272.0,1370.0,Saccade
116031,1175.0,1276.0,Saccade
116032,1027.0,1201.0,Saccade
116033,913.0,988.0,Saccade
116034,884.0,896.0,Saccade
116035,825.0,878.0,Saccade
116036,847.0,874.0,Fixation
116037,,876.0,Fixation
116038,,870.0,Fixation
116039,839.0,882.0,Fixation
116040,,878.0,Fixation
116041,,871.0,Fixation
116042,790.0,865.0,Fixation
116043,790.0,859.0,Fixation
116044,832.0,848.0,Fixation
116045,832.0,853.0,Fixation
116046,,872.0,Fixation
116047,822.0,871.0,Saccade
116048,786.0,816.0,Saccade
116049,658.0,815.0,Saccade
116050,788.0,839.0,Saccade
116051,795.0,835.0,Fixation
116052,792.0,832.0,Fixation
116053,765.0,769.0,Fixation
116054,775.0,768.0,Fixation
116055,768.0,773.0,Fixation
116056,793.0,790.0,Fixation
116057,817.0,820.0,Fixation
116058,,814.0,Fixation
116059,802.0,833.0,Fixation
116060,812.0,843.0,Fixation
116061,,851.0,Fixation
116062,820.0,861.0,Fixation
116063,825.0,866.0,Fixation
116064,,873.0,Fixation
116065,819.0,855.0,Fixation
116066,824.0,859.0,Fixation
116067,,850.0,Saccade
116068,858.0,878.0,Unclassified
116069,857.0,874.0,Saccade
116070,,887.0,Unclassified
116071,862.0,896.0,Unclassified
116072,876.0,908.0,Saccade
116073,,916.0,Saccade
116074,871.0,915.0,Saccade
116075,901.0,941.0,Saccade
116076,,941.0,Saccade
116077,946.0,1020.0,Saccade
116078,978.0,1037.0,Saccade
116079,,1031.0,Unclassified
116080,985.0,1047.0,Unclassified
116081,997.0,1055.0,Unclassified
116082,,1076.0,Saccade
116083,992.0,1079.0,Saccade
116084,1001.0,1074.0,Fixation
116085,,1074.0,Fixation
116086,1017.0,1060.0,Fixation
116087,1010.0,1067.0,Fixation
116088,,1068.0,Fixation
116089,1010.0,1080.0,Fixation
116090,1023.0,1080.0,Fixation
116091,,1078.0,Fixation
116092,1023.0,1072.0,Fixation
116093,1017.0,1078.0,Fixation
116094,,1086.0,Fixation
116095,1015.0,1085.0,Saccade
116096,1057.0,1107.0,Saccade
116097,1088.0,1148.0,Saccade
116098,1121.0,1240.0,Saccade
116099,1193.0,1240.0,Saccade
116100,1187.0,1274.0,Saccade
116101,1187.0,1283.0,Saccade
116102,1177.0,1296.0,Fixation
116103,1185.0,1296.0,Fixation
116104,1185.0,1274.0,Fixation
116105,1187.0,1273.0,Fixation
116106,1178.0,1271.0,Fixation
116107,1183.0,1287.0,Fixation
116108,1183.0,1289.0,Fixation
116109,1205.0,1287.0,Fixation
116110,1199.0,1281.0,Fixation
116111,1204.0,1279.0,Fixation
116112,1212.0,1281.0,Fixation
116113,1210.0,1287.0,Fixation
116114,1206.0,1287.0,Fixation
116115,1217.0,1287.0,Fixation
116116,1204.0,1283.0,Fixation
116117,1204.0,1273.0,Fixation
116118,1169.0,1274.0,Fixation
116119,1149.0,1277.0,Fixation
116120,1139.0,1273.0,Fixation
116121,1164.0,1273.0,Fixation
116122,1164.0,1281.0,Fixation
116123,1158.0,1282.0,Fixation
116124,1196.0,1279.0,Fixation
