,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
101726,1710.0,1720.0,Saccade
101727,1687.0,1689.0,Saccade
101728,1677.0,1671.0,Fixation
101729,1666.0,1670.0,Fixation
101730,1669.0,1665.0,Fixation
101731,1665.0,1703.0,Fixation
101732,1672.0,1662.0,Fixation
101733,1672.0,1691.0,Fixation
101734,1670.0,1686.0,Fixation
101735,1670.0,1666.0,Fixation
101736,1678.0,1673.0,Fixation
101737,1677.0,1675.0,Fixation
101738,1678.0,1668.0,Fixation
101739,1674.0,1670.0,Fixation
101740,1668.0,1673.0,Fixation
101741,1673.0,1680.0,Fixation
101742,1676.0,1677.0,Fixation
101743,1678.0,1695.0,Fixation
101744,1683.0,1696.0,Fixation
101745,1678.0,1697.0,Fixation
101746,1664.0,1680.0,Saccade
101747,,,Saccade
101748,1575.0,1700.0,Saccade
101749,1437.0,1477.0,Saccade
101750,,,Saccade
101751,1143.0,1186.0,Saccade
101752,1099.0,1130.0,Saccade
101753,,,Fixation
101754,1118.0,1137.0,Fixation
101755,1120.0,1143.0,Fixation
101756,1098.0,1152.0,Fixation
101757,1101.0,1152.0,Fixation
101758,1111.0,1156.0,Fixation
101759,1120.0,1160.0,Fixation
101760,1122.0,1166.0,Fixation
101761,1119.0,1173.0,Fixation
101762,1119.0,1177.0,Fixation
101763,1121.0,1176.0,Fixation
101764,1124.0,1174.0,Fixation
101765,1125.0,1169.0,Fixation
101766,1126.0,1168.0,Fixation
101767,1134.0,1170.0,Fixation
101768,1155.0,1179.0,Fixation
101769,1155.0,1180.0,Fixation
101770,1151.0,1178.0,Fixation
101771,1151.0,1180.0,Fixation
101772,1150.0,1175.0,Fixation
101773,1144.0,1174.0,Fixation
101774,1107.0,1184.0,Fixation
101775,1139.0,1184.0,Fixation
101776,1155.0,1160.0,Fixation
101777,1152.0,1158.0,Fixation
101778,1152.0,1157.0,Saccade
101779,1087.0,1139.0,Saccade
101780,1032.0,1074.0,Saccade
101781,902.0,968.0,Saccade
101782,789.0,861.0,Saccade
101783,738.0,800.0,Saccade
101784,710.0,773.0,Saccade
101785,717.0,779.0,Fixation
101786,674.0,779.0,Fixation
101787,674.0,781.0,Fixation
101788,732.0,778.0,Fixation
101789,726.0,773.0,Fixation
101790,725.0,796.0,Fixation
101791,735.0,793.0,Fixation
101792,727.0,790.0,Fixation
101793,721.0,723.0,Fixation
101794,721.0,725.0,Fixation
101795,713.0,787.0,Saccade
101796,724.0,787.0,Fixation
101797,733.0,801.0,Fixation
101798,739.0,804.0,Fixation
101799,736.0,816.0,Fixation
101800,732.0,800.0,Fixation
101801,733.0,797.0,Fixation
101802,734.0,788.0,Fixation
101803,740.0,797.0,Fixation
101804,746.0,782.0,Fixation
101805,742.0,800.0,Fixation
101806,762.0,793.0,Fixation
101807,748.0,798.0,Fixation
101808,747.0,792.0,Fixation
101809,753.0,802.0,Fixation
101810,693.0,800.0,Fixation
101811,765.0,801.0,Fixation
101812,707.0,804.0,Fixation
101813,765.0,801.0,Fixation
101814,736.0,802.0,Fixation
101815,738.0,787.0,Fixation
101816,747.0,787.0,Saccade
101817,776.0,802.0,Saccade
101818,,,Saccade
101819,840.0,798.0,Saccade
101820,994.0,954.0,Saccade
101821,,,Saccade
101822,,,Saccade
101823,1240.0,1294.0,Saccade
101824,,,Saccade
101825,,,Saccade
101826,1448.0,1380.0,Saccade
101827,1410.0,1398.0,Fixation
101828,,,Fixation
101829,1406.0,1397.0,Fixation
101830,1409.0,1398.0,Fixation
101831,1410.0,1422.0,Fixation
101832,1408.0,1422.0,Fixation
101833,1401.0,1405.0,Fixation
101834,1401.0,1405.0,Fixation
101835,1385.0,1420.0,Fixation
101836,1389.0,1379.0,Fixation
101837,1389.0,1379.0,Fixation
101838,1390.0,1372.0,Fixation
101839,1385.0,1399.0,Fixation
101840,1394.0,1406.0,Fixation
101841,1394.0,1406.0,Fixation
101842,1403.0,1404.0,Fixation
101843,1387.0,1406.0,Fixation
101844,1376.0,1414.0,Saccade
101845,1356.0,1381.0,Saccade
101846,1347.0,1370.0,Saccade
101847,1327.0,1329.0,Saccade
101848,1328.0,1360.0,Saccade
101849,1334.0,1340.0,Fixation
101850,1343.0,1340.0,Fixation
101851,1340.0,1329.0,Fixation
101852,1340.0,1329.0,Fixation
101853,1325.0,1352.0,Fixation
101854,1322.0,1352.0,Fixation
101855,1322.0,1355.0,Fixation
101856,1329.0,1353.0,Fixation
101857,1336.0,1357.0,Fixation
101858,1336.0,1359.0,Fixation
101859,1332.0,1364.0,Fixation
101860,1342.0,1366.0,Fixation
101861,1342.0,1366.0,Fixation
101862,1346.0,1362.0,Fixation
101863,1345.0,1363.0,Fixation
101864,1338.0,1365.0,Fixation
101865,1340.0,1369.0,Fixation
101866,1338.0,1354.0,Fixation
101867,1342.0,1354.0,Fixation
101868,1340.0,1352.0,Fixation
101869,1336.0,1366.0,Fixation
101870,1334.0,1367.0,Fixation
101871,1337.0,1369.0,Fixation
101872,1351.0,1365.0,Fixation
101873,1348.0,1364.0,Fixation
101874,1359.0,1356.0,Fixation
101875,1359.0,1380.0,Fixation
101876,1357.0,1367.0,Fixation
101877,1354.0,1366.0,Fixation
101878,1342.0,1367.0,Fixation
101879,1347.0,1374.0,Fixation
101880,1355.0,1374.0,Fixation
101881,1346.0,1399.0,Fixation
101882,1345.0,1382.0,Fixation
101883,1337.0,1383.0,Fixation
101884,1351.0,1386.0,Fixation
101885,1351.0,1381.0,Fixation
101886,1343.0,1383.0,Fixation
101887,1338.0,1383.0,Fixation
101888,1339.0,1386.0,Fixation
101889,1354.0,1388.0,Fixation
101890,1354.0,1362.0,Fixation
101891,1355.0,1363.0,Fixation
101892,1359.0,1370.0,Fixation
101893,1356.0,1393.0,Fixation
101894,1356.0,1398.0,Fixation
101895,1340.0,1399.0,Fixation
101896,1347.0,1403.0,Fixation
101897,1351.0,1397.0,Fixation
101898,1358.0,1396.0,Fixation
101899,1362.0,1408.0,Fixation
101900,1362.0,1398.0,Fixation
101901,1349.0,1396.0,Fixation
101902,1351.0,1394.0,Fixation
101903,1351.0,1391.0,Fixation
101904,1338.0,1409.0,Fixation
101905,1334.0,1417.0,Saccade
101906,1326.0,1420.0,Saccade
101907,1326.0,1408.0,Saccade
101908,1356.0,1414.0,Saccade
101909,1356.0,1421.0,Fixation
101910,1336.0,1433.0,Fixation
101911,1334.0,1428.0,Fixation
101912,1334.0,1438.0,Fixation
101913,1349.0,1437.0,Fixation
101914,1346.0,1391.0,Fixation
101915,1343.0,1437.0,Fixation
101916,1331.0,1426.0,Fixation
101917,1336.0,1431.0,Fixation
101918,1337.0,1427.0,Fixation
101919,1337.0,1427.0,Fixation
101920,1348.0,1428.0,Fixation
101921,1348.0,1424.0,Fixation
101922,1363.0,1429.0,Fixation
101923,1350.0,1417.0,Fixation
101924,1358.0,1417.0,Fixation
101925,1357.0,1444.0,Fixation
101926,1362.0,1446.0,Fixation
101927,1359.0,1446.0,Saccade
101928,1373.0,1455.0,Saccade
101929,1400.0,1478.0,Saccade
101930,1400.0,1488.0,Saccade
101931,1414.0,1486.0,Fixation
101932,1409.0,1491.0,Fixation
101933,1410.0,1505.0,Fixation
101934,1420.0,1506.0,Fixation
101935,1410.0,1506.0,Fixation
101936,1409.0,1505.0,Fixation
101937,1408.0,1507.0,Fixation
101938,1427.0,1506.0,Fixation
101939,1431.0,1506.0,Fixation
101940,1438.0,1513.0,Fixation
101941,1439.0,1514.0,Fixation
101942,1442.0,1508.0,Fixation
101943,1435.0,1511.0,Fixation
101944,1425.0,1510.0,Fixation
101945,1429.0,1514.0,Fixation
101946,1434.0,1513.0,Fixation
101947,1443.0,1516.0,Fixation
101948,1443.0,1512.0,Fixation
101949,1445.0,1508.0,Fixation
101950,1442.0,1506.0,Fixation
101951,1427.0,1515.0,Fixation
101952,1452.0,1523.0,Saccade
101953,1455.0,1487.0,Fixation
101954,1451.0,1525.0,Fixation
101955,1453.0,1529.0,Fixation
101956,1459.0,1529.0,Fixation
101957,1461.0,1525.0,Fixation
101958,1462.0,1530.0,Fixation
101959,1467.0,1541.0,Fixation
101960,1468.0,1541.0,Fixation
101961,1476.0,1544.0,Fixation
101962,1481.0,1544.0,Fixation
101963,1479.0,1545.0,Fixation
101964,1472.0,1545.0,Fixation
101965,1469.0,1509.0,Fixation
101966,1468.0,1532.0,Fixation
101967,1473.0,1526.0,Fixation
101968,1466.0,1541.0,Fixation
101969,1472.0,1542.0,Fixation
101970,1475.0,1544.0,Fixation
101971,1482.0,1544.0,Fixation
101972,1475.0,1550.0,Fixation
101973,1461.0,1554.0,Fixation
101974,1476.0,1548.0,Fixation
101975,1481.0,1541.0,Fixation
101976,1484.0,1540.0,Fixation
101977,1484.0,1538.0,Fixation
101978,1478.0,1542.0,Fixation
101979,1476.0,1544.0,Fixation
101980,1496.0,1544.0,Fixation
101981,1489.0,1541.0,Fixation
101982,1493.0,1549.0,Fixation
101983,1483.0,1554.0,Fixation
101984,1479.0,1565.0,Fixation
101985,1462.0,1563.0,Fixation
101986,1478.0,1562.0,Fixation
101987,1477.0,1559.0,Fixation
101988,1503.0,1589.0,Fixation
101989,1486.0,1594.0,Fixation
101990,1481.0,1593.0,Fixation
101991,1471.0,1570.0,Fixation
101992,1479.0,1564.0,Fixation
101993,1479.0,1560.0,Fixation
101994,1486.0,1560.0,Fixation
101995,1480.0,1557.0,Fixation
101996,1460.0,1549.0,Fixation
101997,1460.0,1537.0,Saccade
101998,1411.0,1494.0,Saccade
101999,1346.0,1429.0,Saccade
102000,1304.0,1410.0,Saccade
102001,1316.0,1414.0,Saccade
102002,1327.0,1439.0,Unclassified
102003,1276.0,1444.0,Saccade
102004,1267.0,1390.0,Fixation
102005,1254.0,1422.0,Fixation
102006,1242.0,1421.0,Fixation
102007,1246.0,1422.0,Fixation
102008,1244.0,1418.0,Fixation
102009,1302.0,1416.0,Fixation
102010,1317.0,1381.0,Fixation
102011,1317.0,1381.0,Fixation
102012,1269.0,1379.0,Fixation
102013,1254.0,1385.0,Fixation
102014,1242.0,1417.0,Fixation
102015,1297.0,1415.0,Fixation
102016,1267.0,1406.0,Fixation
102017,1261.0,1406.0,Fixation
102018,,1405.0,Fixation
102019,1298.0,1399.0,Fixation
102020,1300.0,1391.0,Fixation
102021,1293.0,1391.0,Fixation
102022,1287.0,1386.0,Saccade
102023,1277.0,1360.0,Saccade
102024,1270.0,1358.0,Saccade
102025,1235.0,1393.0,Saccade
102026,1240.0,1389.0,Unclassified
102027,1210.0,1394.0,Unclassified
102028,1261.0,1394.0,Saccade
102029,1290.0,1365.0,Saccade
102030,1321.0,1420.0,Saccade
102031,1353.0,1486.0,Saccade
102032,1346.0,1486.0,Fixation
102033,1359.0,1483.0,Fixation
102034,1387.0,1491.0,Fixation
102035,1376.0,1500.0,Fixation
102036,1359.0,1499.0,Fixation
102037,1356.0,1450.0,Fixation
102038,1352.0,1450.0,Fixation
102039,1322.0,1446.0,Fixation
102040,1320.0,1456.0,Fixation
102041,1320.0,1485.0,Fixation
102042,1350.0,1483.0,Fixation
102043,1350.0,1485.0,Fixation
102044,1350.0,1487.0,Fixation
102045,1377.0,1491.0,Fixation
102046,1370.0,1459.0,Fixation
102047,1371.0,1461.0,Fixation
102048,1350.0,1456.0,Fixation
102049,1332.0,1455.0,Fixation
102050,1353.0,1458.0,Fixation
102051,1372.0,1485.0,Fixation
102052,1366.0,1452.0,Fixation
102053,1350.0,1473.0,Fixation
102054,1358.0,1479.0,Saccade
102055,1366.0,1478.0,Saccade
102056,1379.0,1481.0,Fixation
102057,1380.0,1484.0,Fixation
102058,1381.0,1485.0,Fixation
102059,1381.0,1495.0,Fixation
102060,1298.0,1490.0,Fixation
102061,1290.0,1491.0,Fixation
102062,1286.0,1508.0,Fixation
102063,1367.0,1480.0,Fixation
102064,1365.0,1474.0,Fixation
102065,1354.0,1482.0,Fixation
102066,1306.0,1456.0,Fixation
102067,1317.0,1486.0,Fixation
102068,1292.0,1484.0,Fixation
102069,1362.0,1484.0,Fixation
102070,1376.0,1476.0,Fixation
102071,1379.0,1472.0,Fixation
102072,1379.0,1492.0,Fixation
102073,1374.0,1507.0,Fixation
102074,1375.0,1417.0,Fixation
102075,1371.0,1487.0,Fixation
102076,1372.0,1484.0,Fixation
102077,1369.0,1476.0,Fixation
102078,1370.0,1477.0,Fixation
102079,1359.0,1469.0,Fixation
102080,1369.0,1473.0,Fixation
102081,1374.0,1469.0,Fixation
102082,1371.0,1490.0,Fixation
102083,1366.0,1482.0,Fixation
102084,1362.0,1484.0,Fixation
102085,1361.0,1474.0,Fixation
102086,1351.0,1487.0,Fixation
102087,1360.0,1485.0,Fixation
