,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
53485,,,Unclassified
53486,,,Unclassified
53487,,,Unclassified
53488,,,Unclassified
53489,,,Unclassified
53490,,,Unclassified
53491,,,Unclassified
53492,,,Unclassified
53493,,,Unclassified
53494,,,Unclassified
53495,,,Unclassified
53496,,1793.0,Unclassified
53497,,,Saccade
53498,,1786.0,Saccade
53499,1705.0,1778.0,Saccade
53500,1725.0,1797.0,Saccade
53501,1693.0,1800.0,Fixation
53502,1698.0,1800.0,Fixation
53503,1729.0,1800.0,Fixation
53504,1729.0,1799.0,Fixation
53505,1738.0,1795.0,Fixation
53506,1735.0,1787.0,Fixation
53507,1735.0,1793.0,Fixation
53508,1738.0,1800.0,Fixation
53509,1738.0,1804.0,Fixation
53510,1708.0,1811.0,Fixation
53511,1712.0,1789.0,Fixation
53512,1746.0,1790.0,Fixation
53513,1746.0,1791.0,Fixation
53514,1747.0,1804.0,Fixation
53515,1711.0,1806.0,Fixation
53516,1698.0,1796.0,Fixation
53517,1697.0,1788.0,Fixation
53518,1747.0,1791.0,Fixation
53519,1747.0,1812.0,Fixation
53520,1737.0,1816.0,Fixation
53521,1733.0,1812.0,Fixation
53522,1733.0,1811.0,Fixation
53523,1723.0,1813.0,Fixation
53524,1720.0,1812.0,Fixation
53525,1720.0,1809.0,Fixation
53526,1718.0,1796.0,Fixation
53527,1722.0,1797.0,Fixation
53528,1724.0,1784.0,Fixation
53529,1728.0,1783.0,Fixation
53530,1713.0,1781.0,Fixation
53531,,1796.0,Fixation
53532,1715.0,1807.0,Fixation
53533,1696.0,1813.0,Fixation
53534,1712.0,1806.0,Fixation
53535,1714.0,1794.0,Fixation
53536,1715.0,1792.0,Fixation
53537,1707.0,1794.0,Fixation
53538,1703.0,1801.0,Fixation
53539,1721.0,1792.0,Fixation
53540,1721.0,1775.0,Fixation
53541,1692.0,1768.0,Saccade
53542,1660.0,1746.0,Saccade
53543,1592.0,1688.0,Saccade
53544,1444.0,1565.0,Saccade
53545,1313.0,1438.0,Saccade
53546,1236.0,1331.0,Saccade
53547,1232.0,1278.0,Saccade
53548,1220.0,1271.0,Fixation
53549,1219.0,1281.0,Fixation
53550,1182.0,,Fixation
53551,1177.0,1277.0,Fixation
53552,1177.0,1272.0,Fixation
53553,1175.0,,Fixation
53554,1222.0,1272.0,Fixation
53555,1222.0,1298.0,Fixation
53556,1219.0,1285.0,Fixation
