,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
207299,,,Fixation
207300,,1246.0,Fixation
207301,1096.0,1257.0,Fixation
207302,1084.0,1295.0,Fixation
207303,,1286.0,Fixation
207304,1041.0,1281.0,Fixation
207305,1062.0,1278.0,Fixation
207306,1061.0,1278.0,Fixation
207307,1126.0,1278.0,Fixation
207308,1131.0,1275.0,Fixation
207309,1129.0,1283.0,Fixation
207310,1131.0,1278.0,Fixation
207311,1123.0,1279.0,Fixation
207312,1126.0,1280.0,Fixation
207313,1066.0,1285.0,Fixation
207314,1060.0,1284.0,Fixation
207315,,1289.0,Fixation
207316,,1283.0,Fixation
207317,1050.0,1283.0,Fixation
207318,1074.0,1276.0,Saccade
207319,,1280.0,Saccade
207320,1149.0,1278.0,Unclassified
207321,,1269.0,Saccade
207322,,1266.0,Saccade
207323,1104.0,1265.0,Saccade
207324,,1274.0,Saccade
207325,1073.0,1271.0,Saccade
207326,1050.0,1273.0,Unclassified
207327,,1256.0,Saccade
207328,1047.0,1263.0,Unclassified
207329,1058.0,1260.0,Saccade
207330,,1260.0,Saccade
207331,952.0,1261.0,Unclassified
207332,960.0,1267.0,Unclassified
207333,,1272.0,Unclassified
207334,,1263.0,Unclassified
207335,966.0,1259.0,Unclassified
207336,,1261.0,Unclassified
207337,,,Unclassified
207338,1045.0,1258.0,Saccade
207339,1171.0,1254.0,Saccade
207340,,,Saccade
207341,1128.0,1213.0,Unclassified
207342,,1284.0,Unclassified
207343,1112.0,1270.0,Unclassified
207344,1128.0,1267.0,Saccade
207345,,1231.0,Saccade
207346,1194.0,1230.0,Saccade
207347,1194.0,1241.0,Unclassified
207348,,1241.0,Saccade
207349,,1264.0,Unclassified
207350,1194.0,1232.0,Saccade
207351,,1232.0,Saccade
207352,,,Unclassified
207353,,1232.0,Unclassified
207354,,1230.0,Unclassified
207355,,,Unclassified
207356,,1224.0,Unclassified
207357,,1224.0,Saccade
207358,,1252.0,Saccade
