,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
191149,,1110.0,Saccade
191150,1048.0,1071.0,Saccade
191151,,,Saccade
191152,1051.0,1091.0,Unclassified
191153,1032.0,1081.0,Saccade
191154,1049.0,1095.0,Saccade
191155,1058.0,1108.0,Fixation
191156,1075.0,1095.0,Fixation
191157,1099.0,1098.0,Fixation
191158,1071.0,1089.0,Fixation
191159,1095.0,1089.0,Fixation
191160,1092.0,1101.0,Fixation
191161,1095.0,1109.0,Fixation
191162,1072.0,1111.0,Fixation
191163,1071.0,1094.0,Fixation
191164,1071.0,1094.0,Fixation
191165,1081.0,1080.0,Fixation
191166,1078.0,1099.0,Fixation
191167,1094.0,1100.0,Fixation
191168,1095.0,1111.0,Fixation
191169,1094.0,1077.0,Fixation
191170,1081.0,1077.0,Fixation
191171,1079.0,1110.0,Fixation
191172,1084.0,1106.0,Fixation
191173,1083.0,1104.0,Fixation
191174,1078.0,1074.0,Fixation
191175,1081.0,1106.0,Fixation
191176,1087.0,1106.0,Fixation
191177,1099.0,1090.0,Fixation
191178,1104.0,1094.0,Fixation
191179,1106.0,1094.0,Saccade
191180,1096.0,1124.0,Saccade
191181,1097.0,1123.0,Saccade
191182,1117.0,1118.0,Saccade
191183,1141.0,1155.0,Saccade
191184,1156.0,1140.0,Fixation
191185,1158.0,1141.0,Fixation
191186,1134.0,1158.0,Fixation
191187,1135.0,1156.0,Fixation
191188,1112.0,1149.0,Fixation
191189,1129.0,1142.0,Fixation
191190,1127.0,1128.0,Fixation
191191,1136.0,1138.0,Fixation
191192,1145.0,1139.0,Fixation
191193,1146.0,1148.0,Fixation
191194,1133.0,1151.0,Fixation
191195,1135.0,1109.0,Fixation
191196,1136.0,1111.0,Fixation
191197,1143.0,1111.0,Fixation
191198,1152.0,1127.0,Fixation
191199,1147.0,1141.0,Fixation
191200,1143.0,1141.0,Fixation
191201,1155.0,1141.0,Fixation
191202,1158.0,1141.0,Fixation
191203,1158.0,1140.0,Fixation
191204,1142.0,1144.0,Fixation
191205,1165.0,1139.0,Fixation
191206,1171.0,1139.0,Saccade
191207,1217.0,1234.0,Saccade
191208,1276.0,1314.0,Saccade
191209,1338.0,1314.0,Saccade
191210,1350.0,1352.0,Fixation
191211,1348.0,1327.0,Fixation
191212,1341.0,1343.0,Fixation
191213,1343.0,1335.0,Fixation
191214,1332.0,1293.0,Fixation
191215,1326.0,1293.0,Fixation
191216,1311.0,1306.0,Fixation
