,GazePointLeftX (ADCSpx),GazePointRightX (ADCSpx),GazeEventType
113832,1926.0,1952.0,Fixation
113833,1937.0,1951.0,Fixation
113834,1934.0,1907.0,Fixation
113835,1921.0,1964.0,Fixation
113836,1925.0,1960.0,Fixation
113837,1924.0,1955.0,Fixation
113838,,1954.0,Fixation
113839,1905.0,1952.0,Saccade
113840,1813.0,1938.0,Saccade
113841,,1937.0,Saccade
113842,1914.0,1970.0,Saccade
113843,1903.0,1973.0,Saccade
113844,1881.0,,Saccade
113845,1802.0,1883.0,Saccade
113846,1729.0,1720.0,Saccade
113847,1696.0,1776.0,Unclassified
113848,1678.0,1719.0,Saccade
113849,1670.0,1719.0,Fixation
113850,1679.0,1704.0,Fixation
113851,1668.0,1700.0,Fixation
113852,1671.0,1695.0,Fixation
113853,1676.0,,Fixation
113854,1690.0,1695.0,Fixation
113855,1699.0,1702.0,Fixation
113856,1686.0,1715.0,Fixation
113857,1680.0,1721.0,Fixation
113858,1700.0,1717.0,Fixation
113859,1703.0,1723.0,Fixation
113860,1694.0,1726.0,Fixation
113861,1694.0,1734.0,Fixation
113862,1693.0,1729.0,Fixation
113863,1703.0,1714.0,Fixation
113864,1698.0,1716.0,Fixation
113865,1711.0,1716.0,Fixation
113866,1716.0,1721.0,Fixation
113867,1715.0,1717.0,Fixation
113868,1693.0,1723.0,Fixation
113869,1690.0,1716.0,Fixation
113870,1703.0,1707.0,Fixation
113871,1703.0,1661.0,Fixation
113872,1697.0,1671.0,Fixation
113873,1675.0,1727.0,Fixation
113874,1676.0,1738.0,Fixation
113875,1685.0,1716.0,Fixation
113876,1683.0,1718.0,Fixation
113877,1687.0,1718.0,Fixation
113878,1687.0,1726.0,Fixation
113879,1686.0,1722.0,Fixation
113880,1685.0,1718.0,Fixation
113881,1678.0,1722.0,Fixation
113882,1681.0,1727.0,Fixation
113883,1671.0,1732.0,Fixation
113884,1683.0,1724.0,Saccade
113885,1678.0,1652.0,Saccade
113886,1625.0,1680.0,Saccade
113887,1530.0,1584.0,Saccade
113888,1411.0,1481.0,Saccade
113889,1333.0,1423.0,Saccade
113890,1318.0,1394.0,Saccade
113891,1313.0,1385.0,Fixation
113892,1308.0,1382.0,Fixation
113893,1316.0,1370.0,Fixation
113894,1329.0,1372.0,Fixation
113895,1337.0,1374.0,Fixation
113896,1335.0,1229.0,Fixation
113897,1332.0,1400.0,Fixation
113898,1322.0,1384.0,Fixation
113899,1316.0,1384.0,Fixation
113900,1333.0,1396.0,Fixation
113901,,1387.0,Fixation
113902,1335.0,1379.0,Fixation
113903,1339.0,1369.0,Fixation
113904,,1379.0,Fixation
113905,1344.0,1377.0,Fixation
113906,1343.0,1389.0,Fixation
113907,,1382.0,Fixation
113908,1323.0,1366.0,Saccade
113909,1299.0,1359.0,Saccade
113910,1298.0,1350.0,Saccade
113911,1299.0,1349.0,Fixation
113912,1312.0,1354.0,Fixation
113913,,1367.0,Fixation
113914,1321.0,1339.0,Fixation
113915,1326.0,1335.0,Fixation
113916,,,Fixation
113917,1322.0,1354.0,Fixation
113918,1316.0,1331.0,Fixation
113919,,1359.0,Fixation
113920,1317.0,1352.0,Fixation
113921,1322.0,1352.0,Fixation
113922,1324.0,1347.0,Fixation
113923,1322.0,1355.0,Fixation
113924,1309.0,1353.0,Fixation
113925,,1350.0,Fixation
113926,1306.0,1350.0,Fixation
113927,1307.0,1350.0,Fixation
113928,,1354.0,Fixation
113929,1310.0,1354.0,Fixation
113930,1318.0,1351.0,Fixation
113931,,1347.0,Fixation
113932,1338.0,,Fixation
113933,1335.0,1378.0,Saccade
113934,1341.0,1383.0,Saccade
113935,,1465.0,Saccade
113936,1431.0,1587.0,Saccade
113937,,1715.0,Saccade
113938,,1883.0,Saccade
113939,,2059.0,Saccade
113940,,2201.0,Saccade
113941,,2256.0,Saccade
113942,,,Saccade
113943,,2421.0,Saccade
113944,,,Unclassified
113945,,2451.0,Unclassified
113946,2408.0,2444.0,Unclassified
113947,2378.0,2425.0,Unclassified
113948,2401.0,,Unclassified
113949,2391.0,2415.0,Saccade
113950,2387.0,2366.0,Fixation
113951,2391.0,2366.0,Fixation
113952,2400.0,2361.0,Fixation
113953,2406.0,2397.0,Fixation
113954,2405.0,2400.0,Fixation
113955,2391.0,2364.0,Fixation
113956,2408.0,2401.0,Fixation
113957,2398.0,2392.0,Fixation
113958,2401.0,2390.0,Fixation
113959,2392.0,2383.0,Fixation
113960,2384.0,2382.0,Fixation
113961,2379.0,2376.0,Fixation
113962,2353.0,2377.0,Fixation
113963,2350.0,2368.0,Fixation
113964,,2374.0,Fixation
113965,2365.0,2353.0,Fixation
113966,2361.0,2341.0,Fixation
113967,,2336.0,Fixation
113968,2367.0,2335.0,Saccade
113969,2304.0,2324.0,Unclassified
113970,2364.0,2322.0,Unclassified
113971,2366.0,2330.0,Unclassified
113972,2340.0,2363.0,Unclassified
113973,2321.0,2363.0,Unclassified
113974,2314.0,2321.0,Unclassified
113975,2301.0,2325.0,Unclassified
113976,2328.0,2330.0,Saccade
113977,2354.0,2358.0,Saccade
113978,2345.0,2414.0,Saccade
113979,2372.0,2385.0,Saccade
113980,2355.0,2374.0,Saccade
113981,2363.0,2368.0,Saccade
113982,2372.0,2371.0,Fixation
113983,2397.0,2370.0,Fixation
113984,2405.0,2360.0,Fixation
113985,2405.0,2365.0,Fixation
113986,2408.0,2368.0,Fixation
113987,2373.0,2378.0,Fixation
113988,2402.0,2378.0,Fixation
113989,2368.0,2364.0,Fixation
113990,2402.0,2370.0,Fixation
113991,2395.0,2374.0,Fixation
113992,2392.0,2370.0,Fixation
113993,2387.0,2364.0,Fixation
113994,2386.0,2360.0,Fixation
113995,2399.0,2353.0,Fixation
113996,2394.0,2353.0,Fixation
113997,2398.0,2364.0,Fixation
113998,2371.0,2366.0,Fixation
113999,2379.0,2366.0,Fixation
114000,2378.0,2367.0,Fixation
114001,2378.0,2368.0,Fixation
114002,2378.0,2377.0,Fixation
114003,2391.0,2375.0,Fixation
114004,2378.0,2386.0,Fixation
114005,2388.0,2393.0,Fixation
114006,2397.0,2395.0,Fixation
114007,2399.0,2384.0,Fixation
114008,2390.0,2377.0,Fixation
114009,2402.0,2379.0,Fixation
114010,2402.0,2393.0,Fixation
114011,2378.0,2396.0,Fixation
114012,2364.0,2394.0,Fixation
114013,2364.0,2391.0,Fixation
114014,2382.0,2389.0,Fixation
114015,2379.0,2388.0,Fixation
114016,2385.0,2377.0,Fixation
114017,2356.0,2374.0,Fixation
114018,2339.0,2374.0,Fixation
114019,2366.0,2383.0,Fixation
114020,2390.0,2383.0,Fixation
114021,2375.0,2384.0,Fixation
114022,2385.0,2379.0,Fixation
114023,2374.0,2409.0,Fixation
114024,2388.0,2406.0,Fixation
114025,2369.0,2411.0,Saccade
114026,2362.0,2396.0,Saccade
114027,,2403.0,Saccade
114028,2376.0,2417.0,Saccade
114029,2391.0,2403.0,Saccade
114030,,2390.0,Saccade
114031,2357.0,2353.0,Saccade
114032,2289.0,2360.0,Saccade
114033,,2360.0,Fixation
114034,2294.0,2332.0,Fixation
114035,2298.0,2323.0,Fixation
114036,,2321.0,Fixation
114037,2278.0,2334.0,Fixation
114038,2270.0,2345.0,Fixation
114039,,2347.0,Fixation
114040,2293.0,2333.0,Fixation
114041,2321.0,2321.0,Fixation
114042,,2320.0,Fixation
114043,2314.0,2334.0,Fixation
114044,2306.0,2344.0,Fixation
114045,,2338.0,Fixation
114046,2302.0,2326.0,Fixation
114047,2290.0,2355.0,Fixation
114048,,2356.0,Fixation
114049,2294.0,2351.0,Fixation
114050,2333.0,2318.0,Fixation
114051,,2316.0,Fixation
114052,2352.0,2311.0,Fixation
114053,2352.0,2340.0,Fixation
114054,,2343.0,Fixation
114055,2343.0,2349.0,Fixation
114056,2299.0,2324.0,Fixation
114057,,2326.0,Fixation
114058,2303.0,2322.0,Fixation
114059,,2318.0,Saccade
114060,,2323.0,Saccade
114061,2271.0,2317.0,Saccade
114062,2197.0,2303.0,Saccade
114063,,2299.0,Fixation
114064,2212.0,2301.0,Fixation
114065,2312.0,2306.0,Fixation
114066,,2310.0,Fixation
114067,2320.0,2309.0,Fixation
114068,2336.0,2296.0,Fixation
114069,,2297.0,Fixation
114070,2329.0,2295.0,Fixation
114071,2321.0,2307.0,Fixation
114072,,2304.0,Fixation
114073,2245.0,2306.0,Fixation
114074,2252.0,2313.0,Fixation
114075,,,Saccade
114076,2347.0,2309.0,Fixation
114077,2335.0,2306.0,Fixation
114078,,2303.0,Fixation
114079,2338.0,2306.0,Fixation
114080,2332.0,2310.0,Fixation
114081,,2315.0,Fixation
114082,2304.0,2324.0,Fixation
114083,2319.0,2320.0,Fixation
114084,,2326.0,Fixation
114085,2357.0,2310.0,Fixation
114086,2343.0,2312.0,Fixation
114087,,2346.0,Fixation
114088,2334.0,2362.0,Fixation
114089,2333.0,2336.0,Fixation
114090,,2349.0,Fixation
114091,2329.0,2338.0,Fixation
114092,2324.0,2332.0,Fixation
114093,,2322.0,Fixation
114094,2325.0,2328.0,Fixation
114095,2314.0,2325.0,Fixation
114096,,2322.0,Fixation
114097,2320.0,2365.0,Fixation
114098,2339.0,2333.0,Fixation
114099,,2334.0,Fixation
114100,2347.0,2337.0,Fixation
114101,2294.0,2336.0,Fixation
114102,,2335.0,Fixation
114103,2280.0,2322.0,Fixation
114104,2282.0,2328.0,Fixation
114105,,2329.0,Fixation
114106,2290.0,2338.0,Fixation
114107,2290.0,2331.0,Fixation
114108,,2329.0,Fixation
114109,2265.0,2321.0,Saccade
114110,2260.0,2280.0,Saccade
114111,,2271.0,Saccade
114112,2248.0,2248.0,Saccade
114113,2212.0,2281.0,Saccade
114114,,2276.0,Fixation
114115,2244.0,2285.0,Fixation
114116,2180.0,2269.0,Fixation
114117,,2273.0,Fixation
114118,2173.0,2265.0,Fixation
114119,2268.0,2241.0,Fixation
114120,,2232.0,Fixation
114121,2258.0,2239.0,Fixation
114122,2173.0,2269.0,Fixation
114123,,2271.0,Fixation
114124,2187.0,2268.0,Fixation
114125,2218.0,2263.0,Fixation
114126,,2263.0,Fixation
114127,2211.0,2247.0,Fixation
114128,2183.0,2278.0,Fixation
114129,,2270.0,Fixation
114130,2188.0,2281.0,Fixation
114131,2283.0,2287.0,Fixation
114132,,2292.0,Fixation
114133,2270.0,2277.0,Fixation
114134,2218.0,2264.0,Fixation
114135,,2271.0,Fixation
114136,2217.0,2271.0,Fixation
114137,2245.0,2285.0,Fixation
114138,,2277.0,Saccade
114139,2162.0,2234.0,Saccade
114140,1979.0,2141.0,Saccade
114141,,2001.0,Saccade
114142,1771.0,1816.0,Saccade
114143,1511.0,1690.0,Saccade
114144,,1549.0,Saccade
114145,1449.0,1470.0,Saccade
114146,1427.0,1449.0,Saccade
114147,,1441.0,Unclassified
114148,1422.0,1441.0,Unclassified
114149,1458.0,1449.0,Saccade
114150,,1464.0,Fixation
114151,1481.0,1464.0,Fixation
114152,1466.0,1472.0,Fixation
114153,,1466.0,Fixation
114154,1448.0,1471.0,Fixation
114155,1462.0,1473.0,Fixation
114156,,1468.0,Fixation
114157,1475.0,1463.0,Fixation
114158,1471.0,1465.0,Fixation
114159,,1468.0,Fixation
114160,1472.0,1462.0,Fixation
114161,1464.0,1445.0,Fixation
114162,,1444.0,Fixation
114163,1472.0,1443.0,Fixation
114164,1486.0,1464.0,Fixation
114165,,1467.0,Fixation
114166,1473.0,1470.0,Fixation
114167,1475.0,1472.0,Fixation
114168,,1472.0,Fixation
114169,1481.0,1467.0,Fixation
114170,1433.0,1465.0,Fixation
114171,,1464.0,Fixation
114172,1430.0,1462.0,Fixation
114173,1477.0,1456.0,Saccade
114174,,1459.0,Fixation
114175,1481.0,1464.0,Fixation
114176,1473.0,1466.0,Fixation
114177,,1472.0,Fixation
114178,1473.0,1466.0,Fixation
114179,1486.0,1466.0,Fixation
114180,,1472.0,Fixation
114181,1481.0,1475.0,Fixation
114182,1431.0,1471.0,Fixation
114183,,1471.0,Fixation
114184,1428.0,1474.0,Fixation
114185,1471.0,1474.0,Fixation
114186,,1475.0,Fixation
114187,1465.0,1470.0,Fixation
114188,1464.0,1469.0,Fixation
114189,1463.0,1458.0,Fixation
114190,1476.0,1460.0,Fixation
114191,1479.0,1493.0,Fixation
114192,,1496.0,Fixation
114193,1464.0,1497.0,Fixation
114194,1464.0,1464.0,Fixation
114195,1458.0,1461.0,Fixation
114196,1460.0,1443.0,Fixation
114197,1459.0,1443.0,Fixation
114198,1455.0,1444.0,Fixation
114199,1453.0,1467.0,Fixation
114200,1454.0,1461.0,Fixation
114201,1460.0,1455.0,Fixation
114202,1459.0,1455.0,Fixation
114203,1462.0,1452.0,Fixation
114204,,1466.0,Fixation
114205,1463.0,,Fixation
114206,1463.0,1455.0,Fixation
114207,,1465.0,Fixation
114208,1478.0,1471.0,Fixation
114209,1476.0,1424.0,Fixation
114210,1479.0,1441.0,Fixation
114211,1475.0,1453.0,Fixation
114212,1476.0,1457.0,Fixation
114213,,1462.0,Fixation
114214,1479.0,1455.0,Saccade
114215,1413.0,1422.0,Saccade
114216,1344.0,1375.0,Saccade
114217,1289.0,1334.0,Saccade
114218,1290.0,1292.0,Saccade
114219,1267.0,1266.0,Saccade
114220,1265.0,1239.0,Fixation
114221,1237.0,1255.0,Fixation
114222,1244.0,1256.0,Fixation
114223,1234.0,1269.0,Fixation
114224,1258.0,1259.0,Fixation
114225,1259.0,1257.0,Fixation
114226,1258.0,1257.0,Fixation
114227,1258.0,1249.0,Fixation
114228,1258.0,1242.0,Fixation
114229,1264.0,1252.0,Fixation
114230,1264.0,1253.0,Fixation
114231,1262.0,1254.0,Fixation
114232,1254.0,1249.0,Fixation
114233,1260.0,1247.0,Fixation
114234,1277.0,1246.0,Fixation
114235,1277.0,1222.0,Fixation
114236,1280.0,1229.0,Fixation
114237,1279.0,1232.0,Fixation
114238,1280.0,1233.0,Fixation
114239,1281.0,1232.0,Fixation
114240,1273.0,1230.0,Fixation
114241,1273.0,1233.0,Fixation
114242,1248.0,1235.0,Fixation
114243,1259.0,1237.0,Fixation
114244,1240.0,1233.0,Fixation
114245,1240.0,1229.0,Fixation
114246,1245.0,1228.0,Fixation
114247,1263.0,1228.0,Fixation
114248,1268.0,1235.0,Fixation
114249,1251.0,1234.0,Fixation
114250,1251.0,1226.0,Fixation
114251,1246.0,1230.0,Fixation
114252,1256.0,1233.0,Fixation
114253,1256.0,1226.0,Fixation
114254,1260.0,1235.0,Fixation
114255,1254.0,1237.0,Fixation
114256,1253.0,1235.0,Fixation
114257,1253.0,1235.0,Fixation
114258,1253.0,1218.0,Fixation
114259,1253.0,1209.0,Fixation
114260,1243.0,1212.0,Fixation
114261,1238.0,1211.0,Fixation
114262,1238.0,1221.0,Fixation
114263,1243.0,1217.0,Fixation
114264,1240.0,1217.0,Fixation
114265,1232.0,1212.0,Fixation
114266,1236.0,1215.0,Fixation
114267,1227.0,1195.0,Fixation
114268,1214.0,1198.0,Fixation
114269,1233.0,1197.0,Fixation
114270,1236.0,1197.0,Fixation
114271,1232.0,1209.0,Fixation
114272,1227.0,1210.0,Fixation
114273,1210.0,1206.0,Fixation
114274,1203.0,1201.0,Fixation
114275,1204.0,1211.0,Fixation
114276,1214.0,1208.0,Fixation
114277,1214.0,1201.0,Saccade
114278,1181.0,1184.0,Saccade
114279,1130.0,1137.0,Saccade
114280,1063.0,1054.0,Saccade
114281,1000.0,970.0,Saccade
114282,936.0,901.0,Saccade
114283,863.0,864.0,Saccade
114284,,826.0,Saccade
114285,828.0,810.0,Saccade
114286,796.0,823.0,Saccade
114287,796.0,830.0,Unclassified
114288,791.0,829.0,Saccade
114289,790.0,805.0,Fixation
114290,,796.0,Fixation
114291,794.0,805.0,Fixation
114292,796.0,838.0,Fixation
114293,,820.0,Fixation
114294,809.0,814.0,Fixation
114295,813.0,827.0,Fixation
114296,813.0,830.0,Fixation
114297,798.0,830.0,Fixation
114298,811.0,832.0,Fixation
114299,794.0,828.0,Fixation
114300,798.0,832.0,Fixation
114301,769.0,828.0,Fixation
114302,768.0,824.0,Fixation
114303,774.0,825.0,Fixation
114304,775.0,829.0,Fixation
114305,,827.0,Saccade
114306,686.0,809.0,Saccade
114307,746.0,791.0,Saccade
114308,745.0,773.0,Saccade
114309,740.0,756.0,Saccade
114310,751.0,753.0,Fixation
114311,752.0,746.0,Fixation
114312,763.0,,Fixation
114313,736.0,721.0,Fixation
114314,736.0,721.0,Fixation
114315,748.0,,Fixation
114316,726.0,764.0,Fixation
114317,727.0,776.0,Fixation
114318,733.0,765.0,Fixation
114319,709.0,758.0,Fixation
114320,725.0,764.0,Fixation
114321,709.0,768.0,Fixation
114322,741.0,757.0,Fixation
114323,741.0,765.0,Fixation
114324,738.0,,Fixation
114325,731.0,765.0,Fixation
114326,747.0,767.0,Fixation
114327,752.0,,Fixation
114328,768.0,775.0,Fixation
114329,769.0,780.0,Fixation
114330,722.0,,Saccade
114331,640.0,790.0,Saccade
114332,565.0,565.0,Saccade
114333,496.0,527.0,Saccade
114334,430.0,484.0,Saccade
114335,429.0,449.0,Unclassified
114336,,442.0,Unclassified
114337,397.0,444.0,Unclassified
114338,397.0,463.0,Saccade
114339,446.0,463.0,Saccade
114340,440.0,469.0,Fixation
114341,450.0,472.0,Fixation
114342,459.0,,Fixation
114343,488.0,422.0,Fixation
114344,506.0,426.0,Fixation
114345,453.0,421.0,Fixation
114346,418.0,433.0,Fixation
114347,418.0,434.0,Fixation
114348,470.0,435.0,Fixation
114349,452.0,469.0,Fixation
114350,457.0,469.0,Fixation
114351,,469.0,Fixation
114352,457.0,465.0,Fixation
114353,461.0,429.0,Fixation
114354,407.0,,Fixation
114355,384.0,419.0,Fixation
114356,384.0,426.0,Fixation
114357,422.0,444.0,Fixation
114358,432.0,454.0,Fixation
114359,437.0,450.0,Fixation
114360,424.0,445.0,Saccade
114361,479.0,454.0,Saccade
114362,479.0,486.0,Unclassified
114363,503.0,486.0,Saccade
114364,445.0,472.0,Saccade
114365,499.0,517.0,Saccade
114366,532.0,659.0,Saccade
114367,629.0,697.0,Saccade
114368,629.0,734.0,Saccade
114369,667.0,,Unclassified
114370,678.0,713.0,Saccade
114371,679.0,717.0,Saccade
114372,,729.0,Saccade
114373,,727.0,Saccade
114374,,729.0,Saccade
114375,,729.0,Unclassified
114376,,,Unclassified
114377,,,Unclassified
114378,,,Unclassified
114379,,,Unclassified
114380,,,Unclassified
114381,,,Unclassified
114382,,,Unclassified
114383,,,Unclassified
114384,,,Unclassified
114385,,,Unclassified
114386,,,Unclassified
114387,,,Unclassified
114388,,,Unclassified
114389,,,Unclassified
114390,,,Unclassified
114391,,,Unclassified
114392,,,Unclassified
114393,,,Unclassified
114394,,,Unclassified
114395,,,Unclassified
114396,,,Unclassified
114397,,,Unclassified
114398,,,Unclassified
114399,,,Unclassified
114400,,,Unclassified
114401,,,Unclassified
114402,,,Unclassified
114403,,,Unclassified
114404,,628.0,Unclassified
114405,,600.0,Saccade
114406,,598.0,Unclassified
114407,,584.0,Unclassified
114408,,,Unclassified
114409,,,Unclassified
114410,,,Unclassified
114411,,,Unclassified
114412,,,Unclassified
114413,,,Unclassified
114414,,,Unclassified
114415,,,Unclassified
114416,,,Unclassified
114417,,,Unclassified
114418,,,Unclassified
114419,,,Unclassified
114420,,,Unclassified
114421,,,Unclassified
114422,,,Unclassified
114423,,,Unclassified
114424,,,Unclassified
114425,,,Unclassified
114426,,,Unclassified
114427,,,Unclassified
114428,,,Unclassified
114429,,,Unclassified
114430,,,Unclassified
114431,,,Unclassified
114432,,,Unclassified
114433,,,Unclassified
114434,,,Unclassified
114435,,,Unclassified
114436,,,Unclassified
114437,,,Unclassified
114438,,794.0,Unclassified
114439,,782.0,Saccade
114440,,785.0,Unclassified
114441,,799.0,Unclassified
114442,,,Saccade
114443,,772.0,Saccade
114444,,765.0,Saccade
114445,,765.0,Saccade
114446,,764.0,Unclassified
114447,,764.0,Saccade
114448,529.0,773.0,Saccade
114449,,763.0,Unclassified
114450,,762.0,Saccade
114451,,763.0,Saccade
114452,,759.0,Unclassified
114453,,760.0,Unclassified
114454,,760.0,Unclassified
114455,,765.0,Saccade
114456,654.0,791.0,Saccade
114457,,,Saccade
114458,,787.0,Saccade
114459,910.0,875.0,Saccade
114460,,,Saccade
114461,,998.0,Saccade
114462,989.0,1010.0,Saccade
114463,,996.0,Saccade
