Timestamp,GazeEventType,Focus
94753,1,1
94754,1,1
94755,1,1
94756,1,1
94757,1,1
94758,1,1
94759,1,1
94760,1,1
94761,1,1
94762,1,1
94763,1,1
94764,1,1
94765,1,1
94766,1,1
94767,1,1
94768,1,1
94769,1,1
94770,0,1
94771,0,1
94772,0,1
94773,0,1
94774,0,1
94775,0,1
94776,1,1
94777,1,1
94778,1,1
94779,1,1
94780,1,1
94781,1,1
94782,1,1
94783,1,1
94784,1,1
94785,1,1
94786,1,1
94787,1,1
94788,1,1
94789,1,1
94790,1,1
94791,1,1
94792,1,1
94793,1,1
94794,1,1
94795,1,1
94796,1,1
94797,1,1
94798,1,1
94799,1,1
94800,0,1
94801,0,1
94802,0,1
94803,0,1
94804,0,1
94805,0,1
94806,0,1
94807,0,1
94808,0,1
94809,1,1
94810,1,1
94811,1,1
94812,1,1
94813,1,1
94814,1,1
94815,1,1
94816,1,1
94817,1,1
94818,1,1
94819,1,1
94820,1,1
94821,1,1
94822,1,1
94823,1,1
94824,1,1
94825,1,1
94826,1,1
94827,1,1
94828,1,1
94829,1,1
94830,1,1
94831,1,1
94832,1,1
94833,1,1
94834,1,1
94835,1,1
94836,1,1
94837,1,1
94838,1,1
94839,1,1
94840,1,1
94841,1,1
94842,1,1
94843,1,1
94844,1,1
94845,0,1
94846,0,1
94847,0,1
94848,0,1
94849,0,1
94850,0,1
94851,0,1
94852,0,1
94853,1,1
94854,1,1
94855,1,1
94856,1,1
94857,1,1
94858,1,1
94859,1,1
94860,1,1
94861,1,1
94862,1,1
94863,1,1
94864,1,1
94865,1,1
94866,1,1
94867,1,1
94868,0,1
94869,0,1
94870,0,1
94871,0,1
94872,0,1
94873,0,1
94874,0,1
94875,1,1
94876,1,1
94877,1,1
94878,1,1
94879,1,1
94880,1,1
94881,1,1
94882,1,1
94883,1,1
94884,1,1
94885,1,1
94886,1,1
94887,1,1
94888,1,1
94889,1,1
94890,0,1
94891,0,1
94892,0,1
94893,0,1
94894,0,1
94895,0,1
94896,0,1
94897,0,1
94898,1,1
94899,1,1
94900,1,1
94901,1,1
94902,1,1
94903,1,1
94904,1,1
94905,1,1
94906,1,1
94907,1,1
94908,1,1
94909,1,1
94910,1,1
94911,0,1
94912,0,1
94913,0,1
94914,0,1
94915,0,1
94916,0,1
94917,0,1
94918,0,1
94919,1,1
94920,1,1
94921,1,1
94922,1,1
94923,1,1
94924,1,1
94925,1,1
94926,1,1
94927,1,1
94928,1,1
94929,1,1
94930,1,1
94931,1,1
94932,1,1
94933,1,1
94934,1,1
94935,0,1
94936,0,1
94937,0,1
94938,0,1
94939,0,0
94940,0,0
94941,0,0
94942,0,0
94943,0,0
94944,0,0
94945,0,0
94946,0,0
94947,0,0
94948,0,0
94949,0,0
94950,0,0
94951,0,0
94952,0,0
94953,0,0
94954,0,0
94955,0,0
94956,0,0
94957,0,0
94958,0,0
94959,0,1
94960,0,1
94961,0,1
94962,0,1
94963,1,1
94964,1,1
94965,1,1
94966,1,1
94967,1,1
94968,1,1
94969,1,1
94970,1,1
94971,1,1
94972,1,1
94973,1,1
94974,1,1
94975,1,1
94976,1,1
94977,1,1
94978,1,1
94979,1,1
94980,1,1
94981,1,1
94982,1,1
94983,1,1
94984,1,1
94985,1,1
94986,1,1
94987,1,1
94988,1,1
94989,1,1
94990,0,1
94991,0,1
94992,0,1
94993,0,1
94994,0,1
94995,0,1
94996,0,1
94997,0,1
94998,0,1
94999,1,1
95000,1,1
95001,1,1
95002,1,1
95003,1,1
95004,1,1
95005,1,1
95006,1,1
95007,1,1
95008,1,1
95009,1,1
95010,1,1
95011,1,1
95012,1,1
95013,0,1
95014,0,1
95015,0,1
95016,0,1
95017,0,1
95018,0,1
95019,0,1
95020,0,1
95021,0,1
95022,0,1
95023,0,1
95024,0,1
95025,0,1
95026,0,1
95027,0,1
95028,1,1
95029,1,1
95030,1,1
95031,1,1
95032,1,1
95033,1,1
95034,1,1
95035,1,1
95036,1,1
95037,1,1
95038,1,1
95039,1,1
95040,1,1
95041,1,1
95042,1,1
95043,1,1
95044,1,1
95045,1,1
95046,1,1
95047,1,1
95048,1,1
95049,0,1
95050,0,1
95051,0,1
95052,0,1
95053,0,1
95054,0,1
95055,0,1
95056,1,1
95057,1,1
95058,1,1
95059,1,1
95060,1,1
95061,1,1
95062,1,1
95063,1,1
95064,1,1
95065,1,1
95066,1,1
95067,0,1
95068,0,1
95069,1,1
95070,1,1
95071,1,1
95072,1,1
95073,1,1
95074,1,1
95075,1,1
95076,1,1
95077,1,1
95078,0,1
95079,0,1
95080,0,1
95081,0,1
95082,0,1
95083,0,1
95084,0,1
95085,0,1
95086,0,1
95087,1,1
95088,1,1
95089,1,1
95090,1,1
95091,1,1
95092,1,1
95093,1,1
95094,1,1
95095,1,1
95096,1,1
95097,1,1
95098,1,1
95099,1,1
95100,1,1
95101,1,1
95102,1,1
95103,1,1
95104,0,1
95105,0,1
95106,0,1
95107,0,1
95108,0,1
95109,0,1
95110,0,1
95111,0,1
95112,0,1
95113,1,1
95114,1,1
95115,1,1
95116,1,1
95117,1,1
95118,1,1
95119,1,1
95120,1,1
95121,0,1
95122,1,1
95123,1,1
95124,1,1
95125,1,1
95126,1,1
95127,1,1
95128,1,1
95129,1,1
95130,1,1
95131,1,1
95132,1,1
95133,1,1
95134,1,1
95135,1,1
95136,1,1
95137,1,1
95138,1,1
95139,1,1
95140,1,1
95141,1,1
95142,0,1
95143,0,1
95144,0,1
95145,0,1
95146,0,1
95147,0,1
95148,0,1
95149,0,1
95150,0,1
95151,0,1
95152,1,1
95153,1,1
95154,1,1
95155,1,1
95156,1,1
95157,1,1
95158,1,1
95159,1,1
95160,1,1
95161,1,1
95162,1,1
95163,0,1
95164,0,1
95165,0,1
95166,0,1
95167,0,1
95168,0,1
95169,0,1
95170,1,1
95171,1,1
95172,1,1
95173,1,1
95174,1,1
95175,1,1
95176,1,1
95177,1,1
95178,1,1
95179,1,1
95180,1,1
95181,1,1
95182,1,1
95183,0,1
95184,0,1
95185,0,1
95186,0,1
95187,0,1
95188,0,1
95189,0,1
95190,0,1
95191,0,1
95192,0,1
95193,0,1
95194,0,1
95195,0,1
95196,1,1
95197,1,1
95198,1,1
95199,1,1
95200,1,1
95201,1,1
95202,1,1
95203,1,1
95204,1,1
95205,1,1
95206,1,1
95207,1,1
95208,1,1
95209,1,1
95210,0,1
95211,0,1
95212,0,1
95213,0,1
95214,0,1
95215,0,1
95216,0,1
95217,0,1
95218,0,1
95219,0,1
95220,0,1
95221,0,1
95222,0,1
95223,0,1
95224,0,1
95225,0,1
95226,0,1
95227,0,1
95228,0,1
95229,0,1
95230,0,1
95231,0,1
95232,0,1
95233,0,1
95234,0,1
95235,0,1
95236,0,1
95237,0,1
