Timestamp,GazeEventType,Focus
135763,1,1
135764,1,1
135765,1,1
135766,1,1
135767,1,1
135768,1,1
135769,1,1
135770,1,1
135771,1,1
135772,1,1
135773,1,1
135774,1,1
135775,1,1
135776,1,1
135777,1,1
135778,1,1
135779,1,1
135780,1,1
135781,1,1
135782,1,1
135783,1,1
135784,1,1
135785,1,1
135786,1,1
135787,1,1
135788,1,1
135789,1,1
135790,1,1
135791,1,1
135792,1,1
135793,1,1
135794,1,1
135795,1,1
135796,1,1
135797,1,1
135798,1,1
135799,1,1
135800,1,1
135801,1,1
135802,1,1
135803,1,1
135804,1,1
135805,1,1
135806,1,1
135807,1,1
135808,1,1
135809,1,1
135810,0,1
135811,0,1
135812,0,1
135813,0,1
135814,0,1
135815,0,1
135816,0,1
135817,0,1
135818,1,1
135819,1,1
135820,1,1
135821,1,1
135822,1,1
135823,1,1
135824,1,1
135825,1,1
135826,1,1
135827,1,1
135828,1,1
135829,1,1
135830,1,1
135831,1,1
135832,1,1
135833,1,1
135834,1,1
135835,0,1
135836,0,1
135837,0,1
135838,0,1
135839,0,1
135840,0,1
135841,0,1
135842,0,1
135843,0,1
135844,0,1
135845,0,1
135846,0,1
135847,0,1
135848,0,1
135849,0,1
135850,0,1
135851,0,1
135852,1,1
135853,1,1
135854,1,1
135855,1,1
135856,1,1
135857,1,1
135858,1,1
135859,1,1
135860,1,1
135861,1,1
135862,1,1
135863,1,1
135864,1,1
135865,1,1
135866,1,1
135867,1,1
135868,0,1
135869,0,1
135870,0,1
135871,0,1
135872,0,1
135873,0,1
135874,0,1
135875,0,1
135876,1,1
135877,1,1
135878,1,1
135879,1,1
135880,1,1
135881,1,1
135882,1,1
135883,1,1
135884,1,1
135885,1,1
135886,1,1
135887,1,1
135888,1,1
135889,1,1
135890,0,0
135891,0,0
135892,0,0
135893,1,0
135894,1,0
135895,1,0
135896,1,0
135897,1,0
135898,1,0
135899,1,0
135900,1,0
135901,1,0
135902,1,0
135903,1,0
135904,1,0
135905,1,0
135906,1,0
135907,0,0
135908,0,0
135909,0,0
135910,0,1
135911,0,1
135912,0,1
135913,0,1
135914,0,1
135915,0,1
135916,0,1
135917,0,1
135918,0,1
135919,1,1
135920,1,1
135921,1,1
135922,1,1
135923,1,1
135924,1,1
135925,1,1
135926,1,1
135927,1,1
135928,1,1
135929,1,1
135930,1,1
135931,0,1
135932,0,1
135933,0,1
135934,0,1
135935,0,1
135936,0,1
135937,0,1
135938,0,1
135939,0,1
135940,0,1
135941,0,1
135942,0,1
135943,0,1
135944,1,1
135945,1,1
135946,1,1
135947,1,1
135948,1,1
135949,1,1
135950,1,1
135951,1,1
135952,1,1
135953,1,1
135954,1,1
135955,1,1
135956,1,1
135957,1,1
135958,1,1
135959,1,1
135960,1,1
135961,1,1
135962,0,1
135963,0,1
135964,0,1
135965,0,1
135966,0,1
135967,0,1
135968,0,1
135969,0,1
135970,0,1
135971,1,1
135972,1,1
135973,1,1
135974,1,1
135975,1,1
135976,1,1
135977,1,1
135978,1,1
135979,1,1
135980,1,1
135981,1,1
135982,1,1
135983,1,1
135984,1,1
135985,1,1
135986,1,1
135987,1,1
135988,1,1
135989,1,1
135990,1,1
135991,1,1
135992,1,1
135993,1,1
135994,1,1
135995,1,1
135996,1,1
135997,1,1
135998,1,1
135999,1,1
136000,1,1
136001,1,1
136002,1,1
136003,1,1
136004,1,1
136005,1,1
136006,1,1
136007,1,1
136008,1,1
136009,1,1
136010,1,1
136011,1,1
136012,1,1
136013,1,1
136014,1,1
136015,1,1
136016,1,1
136017,1,1
136018,0,1
136019,0,1
136020,0,1
136021,0,1
136022,0,1
136023,0,1
136024,1,1
136025,1,1
136026,1,1
136027,1,1
136028,1,1
136029,1,1
136030,1,1
136031,1,1
136032,1,1
136033,1,1
136034,1,1
136035,1,1
136036,1,1
136037,1,1
136038,1,1
136039,1,1
136040,1,1
136041,1,1
136042,1,1
136043,1,1
136044,1,1
136045,1,1
136046,1,1
136047,1,1
136048,1,1
136049,1,1
136050,1,1
136051,1,1
136052,1,1
136053,1,1
136054,1,1
136055,1,1
136056,1,1
136057,1,1
136058,1,1
136059,1,1
136060,1,1
136061,1,1
136062,1,1
136063,1,1
136064,1,1
136065,1,1
136066,1,1
136067,0,1
136068,0,1
136069,0,1
136070,0,1
136071,1,1
136072,1,1
136073,1,1
136074,1,1
136075,1,1
136076,1,1
136077,1,1
136078,1,1
136079,1,1
136080,1,1
136081,1,1
136082,1,1
136083,1,1
136084,1,1
136085,1,1
136086,1,1
136087,1,1
136088,1,1
136089,1,1
136090,1,1
136091,1,1
136092,1,1
136093,1,1
136094,1,1
136095,1,1
136096,1,1
136097,1,1
136098,1,1
136099,1,1
136100,1,1
136101,1,1
136102,1,1
136103,1,1
136104,1,1
136105,1,1
136106,1,1
136107,1,1
136108,1,1
136109,1,1
136110,1,1
136111,1,1
136112,1,1
136113,1,1
136114,1,1
136115,1,1
136116,1,1
136117,1,1
136118,1,1
136119,1,1
136120,1,1
136121,1,1
136122,1,1
136123,1,1
136124,1,1
136125,1,1
136126,1,1
136127,1,1
136128,1,1
136129,1,1
136130,1,1
136131,1,1
136132,1,1
136133,1,1
136134,1,1
136135,1,1
136136,1,1
136137,1,1
136138,1,1
136139,1,1
136140,1,1
136141,1,1
136142,1,1
136143,1,1
136144,1,1
136145,1,1
136146,1,1
136147,1,1
136148,1,1
136149,1,1
136150,1,1
136151,1,1
136152,1,1
136153,1,1
136154,1,1
