Timestamp,GazeEventType,Focus
201197,1,1
201198,1,1
201199,1,1
201200,1,1
201201,1,1
201202,1,1
201203,1,1
201204,1,1
201205,1,1
201206,1,1
201207,1,1
201208,1,1
201209,1,1
201210,1,1
201211,1,1
201212,1,1
201213,1,1
201214,1,1
201215,1,1
201216,1,1
201217,1,1
201218,1,1
201219,1,1
201220,1,1
201221,1,1
201222,1,1
201223,1,1
201224,1,1
201225,1,1
201226,1,1
201227,1,1
201228,1,1
201229,1,1
201230,1,1
201231,1,1
201232,1,1
201233,1,1
201234,1,1
201235,1,1
201236,1,1
201237,1,1
201238,1,1
201239,1,1
201240,0,1
201241,0,1
201242,0,1
201243,0,1
201244,0,1
201245,0,1
201246,0,1
201247,0,1
201248,0,1
201249,0,1
201250,0,1
201251,0,1
201252,0,1
201253,0,1
201254,0,1
201255,0,1
201256,0,1
201257,1,1
201258,1,1
201259,1,1
201260,1,1
201261,1,1
201262,1,1
201263,1,1
201264,1,1
201265,1,1
201266,1,1
201267,1,1
201268,1,1
201269,1,1
201270,1,1
201271,1,1
201272,1,1
201273,1,1
201274,1,1
201275,1,1
201276,1,1
201277,0,1
201278,0,1
201279,0,1
201280,1,1
201281,1,1
201282,1,1
201283,1,1
201284,1,1
201285,1,1
201286,1,1
201287,1,1
201288,1,1
201289,1,1
201290,1,1
201291,1,1
201292,1,1
201293,1,1
201294,1,1
201295,1,1
201296,1,1
201297,1,1
201298,1,1
201299,1,1
201300,1,1
201301,1,1
201302,1,1
201303,1,1
201304,1,1
201305,0,1
201306,0,1
201307,0,1
201308,0,1
201309,0,1
201310,0,1
201311,0,1
201312,0,1
201313,0,1
201314,0,1
201315,0,1
201316,0,1
201317,0,1
201318,0,1
201319,0,1
201320,0,1
201321,0,1
201322,0,1
201323,0,0
201324,0,0
201325,0,0
201326,0,0
201327,0,0
201328,0,0
201329,0,0
201330,0,0
201331,0,0
201332,0,0
201333,0,0
201334,0,0
201335,0,0
201336,0,0
201337,0,0
201338,0,0
201339,0,0
201340,0,0
201341,0,0
201342,0,0
201343,0,0
201344,0,0
201345,0,0
201346,0,0
201347,0,0
201348,0,0
201349,0,0
201350,0,0
201351,0,0
201352,0,0
201353,0,0
201354,0,0
201355,0,0
201356,0,0
201357,0,0
201358,0,0
201359,0,1
201360,0,1
201361,0,1
201362,0,1
201363,0,1
201364,0,1
201365,0,1
201366,0,1
201367,0,1
201368,0,1
201369,0,1
201370,0,1
201371,0,1
201372,0,1
201373,0,1
201374,0,1
201375,0,1
201376,0,1
201377,0,1
201378,0,1
201379,0,1
201380,0,1
201381,0,1
201382,0,1
201383,0,1
201384,0,1
201385,0,1
201386,0,1
201387,0,1
201388,0,1
201389,0,1
201390,0,1
201391,0,1
201392,0,1
201393,0,1
201394,0,1
201395,0,1
201396,0,1
201397,0,1
201398,0,1
201399,0,1
201400,0,1
201401,0,1
201402,1,1
201403,1,1
201404,1,1
201405,1,1
201406,1,1
201407,1,1
201408,1,1
201409,1,1
201410,1,1
201411,1,1
201412,1,1
201413,1,1
201414,1,1
201415,1,1
201416,1,1
201417,1,1
201418,1,1
201419,1,1
201420,1,1
