Timestamp,GazeEventType,Focus
93565,1,1
93566,1,1
93567,1,1
93568,1,1
93569,1,1
93570,1,1
93571,1,1
93572,1,1
93573,1,1
93574,1,1
93575,1,1
93576,1,1
93577,1,1
93578,1,1
93579,1,1
93580,1,1
93581,1,1
93582,1,1
93583,1,1
93584,1,1
93585,1,1
93586,1,1
93587,1,1
93588,1,1
93589,1,1
93590,1,1
93591,1,1
93592,1,1
93593,1,1
93594,1,1
93595,1,1
93596,1,1
93597,1,1
93598,1,1
93599,1,1
93600,1,1
93601,1,1
93602,1,1
93603,1,1
93604,1,1
93605,1,1
93606,1,1
93607,1,1
93608,1,1
93609,1,1
93610,1,1
93611,1,1
93612,1,1
93613,1,1
93614,1,1
93615,0,1
93616,0,1
93617,0,1
93618,0,1
93619,0,1
93620,0,1
93621,0,1
93622,1,1
93623,1,1
93624,1,1
93625,1,1
93626,1,1
93627,1,1
93628,1,1
93629,1,1
93630,1,1
93631,1,1
93632,1,1
93633,1,1
93634,1,1
93635,1,1
93636,1,1
93637,1,1
93638,1,1
93639,1,1
93640,1,1
93641,1,1
93642,1,1
93643,1,1
93644,1,1
93645,1,1
93646,1,1
93647,1,1
93648,1,1
93649,1,1
93650,1,1
93651,1,1
93652,1,1
93653,1,1
93654,1,1
93655,1,1
93656,0,1
93657,0,1
93658,0,1
93659,0,1
93660,0,1
93661,0,1
93662,0,1
93663,0,1
93664,1,1
93665,1,1
93666,1,1
93667,1,1
93668,1,1
93669,1,1
93670,1,1
93671,1,1
93672,1,1
93673,1,1
93674,1,1
93675,1,1
93676,1,1
93677,1,1
93678,1,1
93679,1,1
93680,1,1
93681,1,1
93682,1,1
93683,1,1
93684,1,1
93685,1,1
93686,1,1
93687,1,1
93688,1,1
93689,1,1
93690,1,1
93691,1,1
93692,1,1
93693,1,1
93694,1,1
93695,0,1
93696,0,1
93697,1,1
93698,1,1
93699,1,1
93700,1,1
93701,1,1
93702,1,1
93703,1,1
93704,1,1
93705,1,1
93706,1,1
93707,1,1
93708,1,1
93709,1,1
93710,1,1
93711,1,1
93712,1,1
93713,1,1
93714,1,1
93715,1,1
93716,1,1
93717,1,1
93718,1,1
93719,1,1
93720,1,1
93721,1,1
93722,1,1
93723,1,1
93724,1,1
93725,1,1
93726,1,1
93727,1,1
93728,1,1
93729,1,1
93730,1,1
93731,1,1
93732,0,1
93733,0,1
93734,1,1
93735,1,1
93736,1,1
93737,1,1
93738,1,1
93739,1,1
93740,1,1
93741,1,1
93742,1,1
93743,1,1
93744,1,1
93745,1,1
93746,1,1
93747,1,1
93748,1,1
93749,1,1
93750,1,1
93751,1,1
93752,1,1
93753,1,1
93754,1,1
93755,1,1
93756,1,1
93757,1,1
93758,1,1
93759,1,1
93760,1,1
93761,1,1
93762,1,1
93763,1,1
93764,1,1
93765,1,1
93766,1,1
93767,1,1
93768,1,1
93769,1,1
93770,1,1
93771,1,1
93772,1,1
93773,1,1
93774,0,1
93775,0,1
93776,1,1
93777,1,1
93778,1,1
93779,1,1
93780,1,1
93781,1,1
93782,1,1
93783,1,1
93784,1,1
93785,1,1
93786,1,1
93787,1,1
93788,1,1
93789,1,1
93790,1,1
93791,1,1
93792,1,1
93793,0,1
93794,0,1
93795,0,1
93796,0,1
93797,0,1
93798,0,1
93799,0,1
93800,0,1
93801,0,1
93802,0,1
93803,1,1
93804,1,1
93805,1,1
93806,1,1
93807,1,1
93808,1,1
93809,1,1
93810,1,1
93811,1,1
93812,1,1
93813,1,1
93814,1,1
93815,1,1
93816,1,1
93817,1,1
93818,1,1
93819,1,1
93820,1,1
93821,1,1
93822,1,1
93823,1,1
93824,1,1
93825,1,1
93826,0,1
93827,0,1
93828,0,1
93829,0,1
93830,0,1
93831,0,1
93832,0,1
93833,0,1
93834,0,1
93835,1,1
93836,1,1
93837,1,1
93838,1,1
93839,1,1
93840,1,1
93841,1,1
93842,1,1
93843,1,1
93844,1,1
93845,1,1
93846,1,1
93847,1,1
93848,1,1
93849,1,1
93850,1,1
93851,1,1
93852,1,1
93853,1,1
93854,1,1
93855,1,1
93856,1,1
93857,1,1
93858,1,1
93859,1,1
93860,1,1
93861,1,1
93862,1,1
93863,1,1
93864,1,1
93865,1,1
93866,1,1
93867,1,1
93868,1,1
93869,1,1
93870,1,1
93871,1,1
93872,1,1
93873,1,1
93874,1,1
93875,1,1
93876,0,1
93877,0,1
93878,0,1
93879,0,1
93880,0,1
93881,0,1
93882,1,1
93883,1,1
93884,1,1
93885,1,1
93886,1,1
93887,1,1
93888,1,1
93889,1,1
93890,1,1
93891,1,1
93892,1,1
93893,1,1
93894,1,1
93895,1,1
93896,1,1
93897,1,1
93898,1,1
93899,1,1
93900,1,1
93901,1,1
93902,1,1
93903,1,1
93904,1,1
93905,1,1
93906,1,1
93907,1,1
93908,1,1
93909,1,1
93910,1,1
93911,1,1
93912,1,1
93913,1,1
93914,1,1
93915,1,1
93916,1,1
93917,1,1
93918,1,1
93919,1,1
93920,1,1
93921,1,1
93922,1,1
93923,0,1
93924,0,1
93925,0,1
93926,0,1
93927,0,1
93928,0,1
93929,0,1
93930,1,1
93931,1,1
93932,1,1
93933,1,1
93934,1,1
93935,1,1
93936,1,1
93937,1,1
93938,1,1
93939,1,1
93940,1,1
93941,1,1
93942,1,1
93943,1,1
93944,1,1
93945,1,1
93946,1,1
93947,1,1
93948,1,1
93949,1,1
93950,1,1
93951,1,1
93952,1,1
93953,1,1
93954,1,1
93955,1,1
93956,1,1
93957,1,1
93958,1,1
93959,1,1
93960,1,1
93961,1,1
93962,1,1
93963,1,1
93964,1,1
93965,1,1
93966,1,1
93967,1,1
93968,1,1
93969,1,1
93970,1,1
93971,1,1
93972,1,1
93973,0,1
93974,0,1
93975,0,1
93976,0,1
93977,0,1
93978,0,1
93979,1,1
93980,1,1
93981,1,1
93982,1,1
93983,1,1
93984,1,1
93985,1,1
93986,1,1
93987,0,1
93988,1,1
93989,1,1
93990,1,1
93991,1,1
93992,1,1
93993,1,1
93994,1,1
93995,1,1
93996,1,1
93997,1,1
93998,1,1
93999,1,1
94000,1,1
94001,1,1
94002,1,1
94003,1,1
94004,1,1
94005,1,1
94006,1,1
94007,1,1
94008,1,1
94009,1,1
94010,1,1
94011,1,1
94012,1,1
94013,1,1
94014,1,1
94015,1,1
94016,1,1
94017,1,1
94018,1,1
94019,1,1
94020,1,1
94021,0,1
94022,0,1
94023,0,1
94024,1,1
94025,1,1
94026,1,1
94027,1,1
94028,1,1
94029,1,1
94030,1,1
94031,1,1
94032,1,1
94033,1,1
94034,1,1
94035,1,1
94036,1,1
94037,1,1
94038,1,1
94039,1,1
94040,1,1
94041,1,1
94042,1,1
94043,1,1
94044,0,1
94045,0,1
94046,0,1
94047,0,1
94048,0,1
94049,0,1
94050,0,1
94051,0,1
94052,0,1
94053,0,1
94054,1,1
94055,1,1
94056,1,1
94057,1,1
94058,1,1
94059,1,1
94060,1,1
94061,1,1
94062,1,1
94063,1,1
94064,1,1
94065,1,1
94066,1,1
94067,1,1
94068,1,1
94069,1,1
94070,1,1
94071,1,1
94072,1,1
94073,1,1
94074,1,1
94075,1,1
94076,1,1
94077,1,1
94078,1,1
94079,1,1
94080,1,1
94081,1,1
94082,1,1
94083,1,1
94084,1,1
94085,1,1
94086,0,1
94087,0,1
94088,0,1
94089,0,1
94090,1,1
94091,1,1
94092,1,1
94093,1,1
94094,1,1
94095,1,1
94096,1,1
94097,1,1
94098,1,1
94099,1,1
94100,1,1
94101,1,1
94102,1,1
94103,1,1
94104,1,1
94105,1,1
94106,1,1
94107,0,1
94108,0,1
94109,0,1
94110,0,1
94111,0,1
94112,0,1
94113,0,1
94114,0,1
94115,0,1
94116,0,1
94117,0,1
94118,0,1
94119,0,1
94120,1,1
94121,1,1
94122,1,1
94123,1,1
94124,1,1
94125,1,1
94126,1,1
94127,1,1
94128,1,1
94129,1,1
94130,1,1
94131,1,1
94132,1,1
94133,1,1
94134,1,1
94135,1,1
94136,1,1
94137,1,1
94138,1,1
94139,1,1
94140,1,1
94141,1,1
94142,1,1
94143,1,1
94144,1,1
94145,1,1
94146,1,1
94147,1,1
94148,1,1
94149,1,1
94150,1,1
94151,1,1
94152,1,1
94153,1,1
94154,1,1
94155,1,1
94156,1,1
94157,1,1
94158,1,1
94159,1,1
94160,1,1
94161,1,1
94162,1,1
94163,1,1
94164,0,1
94165,0,1
94166,0,1
94167,0,1
94168,0,1
94169,0,1
94170,0,1
94171,1,1
94172,1,1
94173,1,1
94174,1,1
94175,1,1
94176,1,1
94177,1,1
94178,1,1
94179,1,1
94180,1,1
94181,1,1
94182,1,1
94183,1,1
94184,1,1
94185,1,1
94186,1,1
94187,1,1
94188,1,1
94189,1,1
94190,1,1
94191,1,1
94192,1,1
94193,1,1
94194,1,1
94195,1,1
94196,1,1
94197,1,1
94198,1,1
94199,1,1
94200,1,1
94201,1,1
94202,1,1
94203,1,1
94204,1,1
94205,1,1
94206,1,1
94207,1,1
94208,0,1
