Timestamp,GazeEventType,Focus
166787,0,1
166788,0,1
166789,0,1
166790,0,1
166791,0,1
166792,0,1
166793,0,1
166794,0,1
166795,0,1
166796,0,1
166797,1,1
166798,1,1
166799,1,1
166800,1,1
166801,1,1
166802,1,1
166803,1,1
166804,1,1
166805,1,1
166806,1,1
166807,1,1
166808,1,1
166809,1,1
166810,1,1
166811,1,1
166812,1,1
166813,1,1
166814,1,1
166815,1,1
166816,1,1
166817,1,1
166818,1,1
166819,1,1
166820,1,1
166821,1,1
166822,1,1
166823,1,1
166824,1,1
166825,1,1
166826,1,1
166827,1,1
166828,1,1
166829,1,1
166830,1,1
166831,1,1
166832,1,1
166833,1,1
166834,1,1
166835,1,1
166836,1,1
166837,1,1
166838,1,1
166839,1,1
166840,1,1
166841,1,1
166842,1,1
166843,1,1
166844,1,1
166845,1,1
166846,1,1
166847,1,1
166848,1,1
166849,1,1
166850,1,1
166851,1,1
166852,1,1
166853,1,1
166854,1,1
166855,1,1
166856,0,1
166857,0,1
166858,0,1
166859,0,1
166860,0,1
166861,0,1
166862,0,1
166863,1,1
166864,1,1
166865,1,1
166866,1,1
166867,1,1
166868,1,1
166869,1,1
166870,1,1
166871,1,1
166872,1,1
166873,1,1
166874,1,1
166875,1,1
166876,1,1
166877,1,1
166878,1,1
166879,1,1
166880,1,1
166881,1,1
166882,1,1
166883,1,1
166884,1,1
166885,1,1
166886,1,1
166887,1,1
166888,1,1
166889,1,1
166890,1,1
166891,1,1
166892,1,1
166893,0,1
166894,0,1
166895,0,1
166896,0,1
166897,0,1
166898,0,1
166899,0,1
166900,0,1
166901,0,1
166902,0,1
166903,0,1
166904,1,1
166905,1,1
166906,1,1
166907,1,1
166908,1,1
166909,1,1
166910,1,1
166911,1,1
166912,1,1
166913,1,1
166914,0,1
166915,0,1
166916,1,1
166917,1,1
166918,1,1
166919,1,1
166920,1,1
166921,1,1
166922,1,1
166923,1,1
166924,1,1
166925,1,1
166926,1,1
166927,1,1
166928,1,1
166929,1,1
166930,1,1
166931,1,1
166932,1,1
166933,1,1
166934,1,1
166935,0,1
166936,0,1
166937,0,1
166938,0,1
166939,0,1
166940,0,1
166941,1,1
166942,1,1
166943,1,1
166944,1,1
166945,1,1
166946,1,1
166947,1,1
166948,1,1
166949,1,1
166950,1,1
166951,1,1
166952,1,1
166953,1,1
166954,1,1
166955,1,1
166956,1,1
166957,1,1
166958,1,1
166959,1,1
166960,1,1
166961,1,1
166962,1,1
166963,1,1
166964,1,1
166965,1,1
166966,0,1
166967,0,1
166968,0,1
166969,0,1
166970,0,1
166971,1,1
166972,1,1
166973,1,1
166974,1,1
166975,1,1
166976,1,1
166977,1,1
166978,1,1
166979,1,1
166980,1,1
166981,1,1
166982,1,1
166983,1,1
166984,1,1
166985,1,1
166986,1,1
166987,1,1
166988,1,1
166989,1,1
166990,1,1
166991,1,1
166992,1,1
166993,1,1
166994,0,1
166995,0,1
166996,0,1
166997,0,1
166998,0,1
166999,0,1
167000,0,1
167001,0,1
167002,0,1
167003,0,1
167004,0,1
167005,0,1
167006,0,1
167007,0,1
167008,0,1
167009,0,1
167010,0,1
167011,0,1
167012,1,1
167013,1,1
167014,1,1
167015,1,1
167016,1,1
167017,1,1
167018,1,1
167019,1,1
167020,1,1
167021,1,1
167022,1,1
167023,1,1
167024,1,1
167025,1,1
167026,1,1
167027,1,1
167028,1,1
167029,1,1
167030,1,1
167031,1,1
167032,1,1
167033,1,1
167034,1,1
167035,1,1
167036,1,1
167037,0,1
167038,0,1
167039,0,1
167040,0,1
167041,0,1
167042,0,1
167043,0,1
167044,0,1
167045,1,1
167046,1,1
167047,1,1
167048,1,1
167049,1,1
167050,1,1
167051,1,1
167052,1,1
167053,1,1
167054,1,1
167055,1,1
167056,1,1
167057,1,1
167058,1,1
167059,1,1
167060,1,1
167061,1,1
